imdb_id,title,year_of_release
tt2656940,Allah Meharban To Gadha Pehalwan,1997
tt4954486,Qayamat Hi Qayamat,2012
tt2009524,Meri Pyaari Bahania Banegi Dulhania,2001
tt10450718,Lihaaf,2019
tt3508194,Uttejna,1988
tt0214110,Shaan,1950
tt4507018,Kachha Yauvan,1993
tt3812988,Junglee Mohabbat,2001
tt0238942,Do Ghadi Ki Mouj,1935
tt2243456,Tukkaa Fitt,2018
tt3496948,Paisa Aur Zindagi,1970
tt0388678,Aalha Udal,1962
tt3600732,An Encounter,2012
tt1545573,Anaadi Anant,1986
tt0243471,Paanch Qaidi,1981
tt12758600,Comedy Couple,2020
tt1594974,Shola: Fire of Love,2004
tt0248218,Naaz,1954
tt4882740,Pyaasa Nasha,2005
tt0252184,Aage Badho,1947
tt4704768,India's Daughter,2015
tt0034474,Arzoo,1942
tt14332510,Bulbule,2020
tt0387152,Dak Babu,1954
tt0156643,Jeevan Rekha,1974
tt3697302,Shravan Kumar,1960
tt10137318,Phool Aur Pathor,1980
tt10137000,THIRUMATHI PALANISAMY,1992
tt0232161,Nargis,1946
tt2801578,Amar Jyoti,1984
tt0377498,Bhakta Bilwamangal,1948
tt0046796,Bokul,1954
tt0232571,Sajjan,1941
tt4882728,Lagan: The Dedication,2005
tt7329290,Bhamashah,2017
tt4165074,Tu Ladki Hain Badnaam Gali Ki,2003
tt3635504,Rajdrohi,1993
tt2073038,Na Jaane Kabse,2011
tt0305993,Pyaasi Aankhen,1983
tt6543074,Super Bheem Hawa Mein Halla,2016
tt7274548,Nagravadhu Amrapali,2014
tt0231435,Deepak,1940
tt2494558,Son of Dracula,2009
tt3522462,Pyasi Dulhan,1990
tt7319870,Baaki Itihaas,2017
tt12446654,Green Signal,2020
tt0230177,Ek Nao Do Kinare,1973
tt0242856,Sati Naag Kanya,1983
tt0134300,Baghi Sipahi,1958
tt4884648,Ek Main Ek Tum,2005
tt0429775,Chowki No.11,1978
tt2332570,The Lost Tape,2012
tt0233176,Aladdin Aur Jadui Chirag,1933
tt7107054,Vadiyan,2017
tt0499246,Rani Aur Jaani,1973
tt0397740,Yeh Pyar Nahin,1988
tt0370800,Jalpari,1952
tt0155246,Teen Sau Din Ke Baad,1938
tt4058908,Mera Kaun?,2003
tt2679070,Bhootni,2000
tt4411820,Main Tera Aashiq,1994
tt0215962,Malka-e-Alam Noorjehan,1954
tt0377451,Bansari Bala,1936
tt5313130,Ziarat,1968
tt11433820,3 Days 4 Nights in Bihar,2020
tt0252974,Car Thief,1986
tt0392139,Husn aur Ishq,1966
tt10471142,Unity of Light by A.R rahman,2007
tt2567704,Jai Jwala Maa,2000
tt4002166,Ek Raaz Mere Dil Mein Hai,2003
tt5294880,Jango,2016
tt2623960,Gul Gulshan Gulfam,2012
tt0256429,Teen Sardar,1965
tt7375514,Shaher,2017
tt2649902,Prem Sandesh,1988
tt4559046,Housefull 3,2016
tt3429830,Bhakti Mein Bhagwan,1975
tt0257416,Aswamedham,1992
tt14001366,Highway to Suva,2014
tt2924518,Rampur Ka Raja,1993
tt9476584,Kala Patthar,1944
tt10263986,Ek Gulelbaaz the Catapult,2019
tt0391548,Zalim,1947
tt6363228,Part Time Job,2016
tt0242655,Maya Bazaar,1958
tt2913442,Barah Saal Baad,1988
tt0374063,Mr. Jhatpat,1943
tt1454567,Team: The Force,2009
tt0236503,Mirza Sahiban,1933
tt5204718,Mad: It Can Be Anyone,2011
tt0156932,Rambaan,1948
tt0158554,Chirag,1943
tt0266333,Biwi-O-Biwi,1981
tt0387566,School Master,1959
tt2579164,Afsar,1988
tt2732450,Tawaif Ki Beti,1988
tt3776634,Sati Savitri,1982
tt2739318,Jeb Katari,1997
tt3363402,The Lastbenchers,2014
tt2924546,Jawani Ki Khusboo,1994
tt4685654,Pyar Bana Afsana,1968
tt3657490,Hatya Chakra,1995
tt3430032,Gogola,1966
tt3669184,Gunda Mawali,1995
tt0449868,Chambal Ke Daku,1982
tt0158635,Gentleman Daku,1937
tt0242844,Sangram,1965
tt2784646,Agent 009,1980
tt2137064,Lanka,2011
tt4944480,Gabbar Singh,2007
tt1964886,Love Express,2011
tt4200304,Ek Hi Manzil,2000
tt7918630,Chhappan Churi,1934
tt5068892,Kerry on Kutton,2016
tt12782066,Tallukh,2020
tt4276622,Ek Baat Raat Ki,2004
tt3527144,The Dirty Relation,2013
tt1389126,Tere Ishq Mein,2009
tt0155413,Zindagi Aur Maut,1965
tt3628860,Khel Jawani Ka,1989
tt11229134,Durgamati: The Myth,2020
tt0377622,Chand Chakori,1945
tt3512290,Lajwanti,2014
tt0243416,Meri Zabaan,1989
tt0152416,Shoharat,1956
tt0105394,Shola Aur Shabnam,1992
tt6234010,Sab Se Badi Adalat,1987
tt1725798,Be-Careful,2011
tt2256851,Sri Ramakatha,1968
tt0155142,Sarkar,1951
tt0157142,Ustad,1957
tt2656948,Ishq Aur Inteqaam,1993
tt0030305,Jwala,1938
tt0268389,Issi Ka Naam Dunia Hai,1962
tt0235575,Mast Fakir,1934
tt0360992,Sipahi,1941
tt0156787,Mehmaan,1972
tt4411786,Pal Pal Dil Ke Ssaat,2009
tt10859670,Womanhood,2020
tt0396491,Basanti Tangewali,1992
tt0246800,Naina,1973
tt4761434,Vidyapati,1964
tt2922008,Haiwan,1998
tt2676204,Baharon Ke Manzil,1991
tt10006510,Life Mein Twist Hai,2014
tt0039327,Do Bhai,1947
tt0155741,Her Highness,1946
tt10692420,Forty Plus,2019
tt9614868,Jhol,2019
tt3748572,Ek Aatma,2000
tt0213678,Ghamand,1955
tt3844336,Maut Ka Pinjra,2001
tt2909206,Rishte Ke Deewar,1992
tt0762092,Doodh Aur Apheem,2006
tt4944474,No Parking,2006
tt2741948,Yaadon Ka Mausam,1990
tt2857054,Pyaase Honth,1985
tt3702252,Maut Se Mukabala,1990
tt3628714,Mission: The Last War,2008
tt0156058,Sita Swayamvar,1976
tt0345415,Hunterwali Ki Beti,1943
tt0386303,Azad Hindustan,1948
tt4280580,Haseeno Ka Dalaal,2004
tt3530652,Ek Nadan Ladki,1991
tt3074854,Guru Aur Chela,1973
tt0214070,Saat Samundaron Ki Mallika,1947
tt0155332,Vasavdatta,1934
tt3004774,Tigers,2014
tt0214801,Ismat,1944
tt2771356,Sachche Moti,1962
tt0378618,Pyaar Ki Raat,1949
tt3548494,Matlabi,1989
tt3628848,Kahani Shikari Kutte Ki,1981
tt3914346,Shola Bai,2002
tt0426253,Tanhai,1972
tt0376637,Hamari Duniya,1952
tt5310842,Shahzaadi,1957
tt3628834,Krodh Jawani Ka,1988
tt2894526,Aaj Ka Gunda,1992
tt0154208,Barood,1960
tt0386764,Sajan Ka Ghar,1948
tt4544378,Pehla Pyar,2001
tt0389305,Ram Hanuman Yuddha,1957
tt6812842,Uribo,2018
tt0213863,Mastani,1955
tt10137402,MANADA NO MOR,1989
tt9476838,Sudama,1947
tt2009466,Dushmani,2002
tt6314268,Kid Krrish 2 - Mission Bhutan,2014
tt0379262,Dolti Naiya,1934
tt0376475,Alladin II,1936
tt0232624,Shama Parwana,1954
tt12038360,Karmveer- The Pursuit of Dreams,2020
tt7690638,Soorma,2018
tt1477705,Dreams... Do Come True,2009
tt4884536,Dulhan Chand Raaton Ki,2005
tt2701210,Kaun Apna Kaun Paraya,1994
tt0236522,Munna,1969
tt0371637,Divorce,1984
tt3745900,Nadaan Ladkiyaan,2000
tt0230410,Bombshell,1935
tt3501502,Teri Aarzoo,1986
tt0934508,Main Tere Pyaar Mein Pagal,1999
tt4815688,Ladla,1954
tt0157987,Mera Suhaag,1947
tt4946242,Humse Hai Zamana,2004
tt4208604,M.... Matric Pass,2014
tt4319856,Naag Mani,2004
tt0277024,Hum Rahe Na Hum,1984
tt0234021,Kaun Kisika,1939
tt5049906,Subah Subah,1983
tt0215890,'Ferry',1954
tt1935782,"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",2009
tt2881776,College Girl,1990
tt0213458,Asiai Sitara,1937
tt0242658,Maya Jaal,1962
tt0141826,Singaar,1949
tt0358106,Sati Savitri,1964
tt11167150,Mumbai Xpress,2005
tt4276402,Bhoot Mahal,2004
tt6531196,Ascharyachakit!,2018
tt7550816,Ram Ratan,2017
tt2742680,Waqt Ke Zanjeer,1989
tt0378753,Sheil Bala,1932
tt12095650,Do Writers ki Maut,2018
tt0374046,Mil Gayee Manzil Mujhe,1989
tt4329938,Shaukeen,2004
tt3673416,Gangu,1962
tt0246845,Parwana,1947
tt1107348,Kaali Ki Saugandh,2000
tt2801624,Hausla,1984
tt4946252,Qatilon Ka Qatil,2004
tt0216395,Wahri Duniya,1937
tt0396644,Hum Bhi Insaan Hain,1959
tt13311676,Sakshi,2021
tt0359530,Kahan Tak Aasmaan Hai,1984
tt0384215,Jai Bharat,1936
tt0451703,Dilawar,1984
tt14378460,Destination Zindagi,2021
tt0385075,Maldar,1951
tt4545630,Sardaar Gabbar Singh,2016
tt3544562,Khooni Hawas,1991
tt0378364,Mirza Sahiban,1957
tt1629715,Miss Lovely,2012
tt4885310,Sanak: The Deadly Passion,2005
tt2444476,Maha Puja,1954
tt1625331,Hello Zindagi,2010
tt9447362,Bemisal,1940
tt0064085,Bhai Bahen,1969
tt0458948,Silence Please... The Dressing Room,2004
tt3866864,Lav Kush,1974
tt0087908,Pet Pyaar Aur Paap,1984
tt0254371,Hamaara Sansaar,1978
tt0029518,Savitri,1937
tt13381376,Welcome Home,2020
tt1934243,Dumkata,2007
tt4983396,Aaryan Mera Naam,1988
tt0437452,Raunaq,1993
tt0357997,Pagli,1974
tt2963004,Jaggu,2004
tt2620564,Raat Ke Baad,1986
tt4525992,Naag Devtaa,2004
tt11963556,Joda Thath Ka,2020
tt2953552,Jawani Ke Jalwe,1987
tt2705438,Sangdill,1981
tt6177454,Kabaddi,2018
tt3717702,Shaitani Khazana,1999
tt0374177,Riyasat,1955
tt0375890,Kanoon,1994
tt3083992,Dukh Sukh,1974
tt2747102,Jungle Queen,1991
tt0458204,The White Land,2005
tt11218174,Mera Ram Kho Gaya,2019
tt0077818,Kondura (The Sage from the Sea),1978
tt0070166,Heera,1973
tt0377903,Farze Ada,1936
tt1455803,Barrister,1982
tt1869542,London Calling,2009
tt0377624,Chand Tara,1945
tt4332466,Pati Ho To Aisa,2004
tt0215989,Mere Lal,1937
tt7024472,POV: Point of view,2017
tt1074978,Kuch Khatta Kuch Meetha,2007
tt4879010,2 Piece,2005
tt7320332,Rahenge Sadaa Gardish Mein Taare,2017
tt12788654,Stop or I Will Shoot,2019
tt3521072,Besharam Ratein,1990
tt0833499,Mashooka,2005
tt10738834,The Forest,2017
tt0388771,Bijli Chamke Jamna Paar,1962
tt2677136,Krantipath,1999
tt3094390,Bull BulBul Bandook,2013
tt3683552,Choron Ki Barat,1960
tt4675838,Dard Ki Awaaz,1990
tt7134336,Pagalpan,1991
tt3746492,Raat Rani,2000
tt0214079,Sant Tulsidas,1939
tt14356188,Refl3ct,2021
tt4332476,Pyar Mein Sab Kuch Hota Hai,2004
tt5321772,Mera Inteqaam,2000
tt4417702,Aadi Shakti,1992
tt9291704,Uski Tamanna,1939
tt1948640,The Waiting Room,2010
tt9595738,Mansukh Chaturvedi Ki Atmakatha,2019
tt6962340,The Touch,2017
tt3816438,Laal Joda,2001
tt5226638,13 May Gulaabi Nagar,2010
tt3260588,Bin Phere Free Me Tere,2013
tt0261073,Mohabbat Ki Jeet,1960
tt0325762,Lutaru Lalna,1938
tt0361932,Mr. 420,1937
tt2150074,Koi Hai,2003
tt4537550,The Return of Tezaab,2003
tt0083063,Sharda,1981
tt0215547,Barat,1942
tt4946144,The Gunda,2004
tt4357504,Solah Somwar,2000
tt1388351,Love in Japan,2006
tt2452456,Adhura,1995
tt0293529,Professor and Jadugar,1968
tt0419788,Hamara Desh,1941
tt0156715,Krishna Leela,1946
tt2679100,Ehsaan Aap Ka,1981
tt0144023,Yatrik,1952
tt0230501,Mandir Masjid,1977
tt0176133,Shararat,1972
tt3848222,Ramgadh Ki Ramkali,2001
tt8551784,Kathor,2018
tt0390405,Qatil Aur Ashiq,1986
tt8672310,Krish Trish and Baltiboy: Face Your Fears,2017
tt0231683,Gul-e-Bakavali,1932
tt4944470,Virana,2006
tt0232674,Son of India,1962
tt4141570,Dekha Jo Pehli Baar,2013
tt2652396,Andhera,1994
tt2795374,Navaratri,1983
tt0080514,Chakra,1981
tt10098288,Roohi,2021
tt0232082,Mera Ladka,1938
tt2947796,Shabnam Bani Shola,2001
tt2667342,Main Jyoti Tu Jwala,2001
tt2660848,Rang Mahal,2002
tt0230657,Prem Shastra,1974
tt0157008,Seeta,1934
tt3877054,Lootera Sultan,1990
tt0175500,Boxer,1965
tt0357729,Hatyare,1989
tt3746338,Pyar Ka Anubhav,2000
tt0356200,Woh Zamana,1947
tt0175421,Aandhi Aur Toofan,1964
tt0239104,Lagan Na Umedvar,1948
tt3704456,Ali Baba and 40 Thieves,1966
tt0256300,Raja,1963
tt7722130,Hawas Ki Diwani,2002
tt1190894,"Road, Movie",2009
tt0358107,Sati Vaishalini,1959
tt3885740,Ram Aur Rahim,1968
tt5802866,Zindagi Abhi Baaki Hai,2016
tt0379248,Dhanwale,1948
tt9487550,I Am Banni,2019
tt0266753,Mastana,1954
tt3875230,Chaska,1989
tt7146484,Kanyadaan,2017
tt5316280,Pehli Nazar Mein,1996
tt6085752,"Dad, I am Watching you",2016
tt4810788,Parichaya,1986
tt0107249,Jaagruti,1993
tt13399848,The Love Style,2021
tt4082928,Prachin Kama Sutra,2003
tt12223246,Cinemaa Zindabad,2020
tt8067016,Intercity,2018
tt3455804,Tarzan and Delilah,1964
tt3628836,Mard Ka Badla,1988
tt0791260,Roohani Taaqat,1991
tt1176141,Zahreela,2001
tt1893409,Ye Stupid Pyar,2011
tt0377613,Chabuk Sawar,1937
tt3099246,Shree Krishna Bhakti,1973
tt2690632,Daayen,1997
tt3673692,Jai Dhakshineshwari Kali Maa,1996
tt7971992,Devil (Maupassant's Le Diable),2019
tt5162476,6-5=2,2014
tt3164774,Sniffer,2013
tt0355716,Ma Beta,1962
tt0370855,Krishna Sudama,1945
tt0373813,Ek Naav Kinare Do,1973
tt0230784,Sila,1988
tt0065612,Darpan,1970
tt0231463,Dilruba,1950
tt5226660,Royal Utsav,2009
tt0272264,Pujarin,1936
tt0447257,Little John,2001
tt0361962,Noor-e-Wahadat,1936
tt9769820,NCR: Chapter One,2021
tt0041861,Shabnam,1949
tt0371058,Painter Babu,1983
tt2730124,Julie Ki Jawani,2003
tt6851664,Romeo N Bullet,2017
tt0230518,Mera Dharam Meri Maa,1976
tt0215091,Pyaar Ki Jeet,1948
tt4818676,Narak,1991
tt0150102,Chhota Sa Ghar,1996
tt11258140,Koi Hai Yaaha,2006
tt2722864,Khooni Shikanja,2000
tt6651098,Online Gurukul,2017
tt0154304,Chandrahasa,1933
tt0270092,Yaar Kasam,1985
tt5316246,Yeh Dil Deewana Hain,1994
tt4820566,Jawani Ki Ghabrahat,1991
tt0230760,Shahi Lutera,1976
tt3074802,Daku Munni Bai,1991
tt7662314,I Am Roshni,2018
tt2771684,Toofani Takkar,1978
tt2510874,Yamla Pagla Deewana 2,2013
tt4434030,Marvel Man,1964
tt0357950,Navratri,1955
tt0234712,Sheesha,1952
tt2343417,Chhodo Kal Ki Baatein,2012
tt6457864,You Are Right Mr Positive +,2016
tt4460440,Badmashon Ka Raja,1997
tt10914342,Kirket,2019
tt1727797,Karwa Chouth,1978
tt1219317,Be-Shaque,1981
tt0157842,Jadugar Daku,1962
tt0155520,Bahadur Kisan,1938
tt3549616,Aaj Ki Raat,1992
tt1286576,Mahashivratri,1972
tt0379459,Private Detective: Two Plus Two Plus One,1997
tt3679070,Milan Talkies,2019
tt3817730,Harihar Bhakti,1956
tt4885350,Chanddi: The Final Justice,2005
tt2187167,Unforgettable,2014
tt3673494,Balgobin Bhagat,1996
tt0213766,Kaun Hamara,1947
tt10350626,Gunjan Saxena: The Kargil Girl,2020
tt9450228,Muqabla,1941
tt6509906,Radio Comes to Rampur,1999
tt0155730,Gunehgaar,1939
tt0231350,Chenghiz Khan,1957
tt0886505,Kaafila,2007
tt9337544,A Thin Line,2019
tt3711182,Ratri Milan,1998
tt5926732,Wife Hai Toh Life Hai,2004
tt0242314,Billoo Baadshah,1989
tt13925648,Step Out,2021
tt11333404,Verdict,2019
tt0213685,Gorakh Aya,1938
tt3226102,Mutthi Bhar Sapne,2013
tt0471915,Share Bazaar,1997
tt11573410,Guns of Banaras,2020
tt13551314,Secret Attack,2020
tt0154322,Chingari,1940
tt4795758,Shrant,1984
tt0231345,Chaubees Ghante,1958
tt8061218,Indian Never Again Nirbhaya,2018
tt5493738,Music Meri Jaan,2016
tt11108348,Used,2019
tt4820202,Mahatma Basweshwar,1990
tt0997149,Dhokebaaz,1984
tt2741938,Hum Junglee Hain,1973
tt4885370,Devi Mata,2005
tt4802498,Darbar,1955
tt0031265,Ek Hi Raasta,1939
tt2137516,Khwaab,1997
tt4346256,Bawaal.. The Panga,2005
tt2735372,Charminar Boys,2006
tt0389168,Mohini,1957
tt0378964,Veer Arjun,1952
tt0361790,Kala Bhoot,1937
tt3815974,Kahani Kamini Ki,2001
tt2762864,His Highness,1964
tt8316280,Us Disha Main,2014
tt0230870,Thakur Jarnail Singh,1966
tt0178230,Ameer,1954
tt2626366,Choron Ki Rani Hasino Ka Raja,1990
tt0213586,Daku Aur Bhagwan,1975
tt0482222,Inteqam,2001
tt0156007,Rani,1943
tt1301721,We R Friends,2006
tt3014856,Bihari Gunda,1987
tt0362145,Sharbati Aankhen,1945
tt6941654,Hanuman Da' Damdaar,2017
tt0405626,Aai Bahar,1946
tt3848094,Qatil Chudail,2001
tt2769378,Lucky Number,1961
tt0156267,Afzal,1933
tt0268621,Sawan Aya Re,1949
tt0426041,Insaan,1952
tt0375780,Gol Nishan,1936
tt3698328,Teri Dilli Meri Dili,2014
tt1016044,Yehi Hai Zindagi,2005
tt3673374,Jyoti Devi Maa,1988
tt0156718,Kutte Ki Kahani,1964
tt2959106,Mera Desh,1998
tt4318402,Kaam Jwala: The Fire,2004
tt0230739,Sautela Pati,1985
tt0101732,Dil Aashna Hai (...The Heart Knows),1992
tt4846808,The Nincompoops Hindi Movie,2013
tt4879572,Bhabhi Ka Chumma,2005
tt0158742,Magadraj,1946
tt13551840,Captain Vidyut,2020
tt0384903,Dalit Kusum,1936
tt6190346,Jannat E Milan,2018
tt0311021,Do Rahain,1997
tt0231732,Holi,1940
tt11613096,Khudbudi,2020
tt0363605,Farz Ki Jung,1989
tt4744170,Mohabbat Zindabad,1962
tt10817772,Iraade,2017
tt3462408,Tarzan Aur Captain Kishore,1964
tt4682128,Redrum,2018
tt0250758,Suhag,1958
tt0378185,Khak Ka Putia,1934
tt0376339,Woh Phir Nahin Aaye,1981
tt0362766,Inteha Pyar Ki,1992
tt3353592,Tarzan in Fairyland,1968
tt8366590,Baaghi 3,2020
tt1603832,F. M. (Fun Aur Masti),2007
tt3918916,Miss Laila,2002
tt0230363,Jeet Kiski,1952
tt0482305,Ek Aur Visphot,2002
tt3509700,Bal Shivaji,1982
tt2009425,Babu Badshah,2000
tt3157758,Master Man,1938
tt9445490,Lahore To Calcutta,1938
tt3375902,Maikhana,1967
tt0213502,Bhakta Prahlad,1946
tt4815542,Nagan,1966
tt4865436,Hate Story 3,2015
tt2881424,Bunglow No. 666,1990
tt0397738,Yeh Khoon Rang Layega,1970
tt7884086,Pareshaan Parinda,2018
tt2668548,Model: The Beauty,2005
tt4882614,Police Duty,2005
tt0271640,Miss Frontier Mail,1936
tt0361546,Du-Janay,1983
tt3628852,Insaaf Kahan Hain,1978
tt2660626,Sar Kati Laash,1999
tt3713344,Project No.1,1998
tt0243357,Khan Bahadur,1937
tt0156048,Sardar-e-Awwal,1939
tt13711070,Key Club,2012
tt0374342,Yaad Rakhegi Duniya,1992
tt0214025,Punjab Lancers,1937
tt4882096,Jaane Bahar Jaane Jigar,2005
tt0156282,Amar Saigal,1955
tt4417674,Aag aur Angaray,1990
tt5255890,Kaal Bhairav,1992
tt2937746,Maila Aanchal,1981
tt9557092,Never Give Up,2019
tt0187520,S. P. Parasuram,1994
tt8852598,Phir Ussi Mod Par,2019
tt0214022,Pujarin,1969
tt2385187,Ramu Dada,1961
tt2742620,Mera Badla,1985
tt2613186,Raeeszada,1976
tt2637610,Dilruba Tangewali,1987
tt10409774,Fastey Fasaatey,2019
tt1309415,Bhoola Bhatka,1976
tt1101665,Shaurya: It Takes Courage to Make Right... Right,2008
tt4200426,Hum Hain Bharatwasi,2002
tt0428987,Preeti,1986
tt0374215,Shikwa,1974
tt11412362,Sound of Water-Paani Ki Aawaz,2019
tt8084696,Mr. Kabaadi,2017
tt2891832,Mera Farz Mera Karz,1992
tt0139389,Jagir,1959
tt8176312,Gul Makai,2020
tt0214202,Toofan Mail,1934
tt8017136,Tony: My Mentor the Serial Killer,2018
tt3918530,Deewano Ki Rangeeli,2002
tt9476674,Sawa Lakh,1944
tt3913224,Behram Daku,1959
tt0368007,Malhar,1951
tt0332417,Stunt Queen,1947
tt1432159,Unchi Uraan,1984
tt8465686,Aaya Hai Dulha Dulhan Le Jayega (AHDDLJ),2018
tt3748392,Naag Mani,1987
tt4714202,Ramad,2017
tt0266663,Jawani Ki Aag,1951
tt2858416,Parakh,1981
tt7806446,Roop Basant,1949
tt3715646,Teri Mohabbat Ke Naam,1999
tt0156287,Angulimaal,1960
tt0242853,Sardar,1967
tt3658932,Jungle Mein Hungama,1994
tt1633171,Bird Idol,2010
tt9756010,Code Blue,2019
tt0387066,Bhedi Khazana,1946
tt8620668,Chhattisgarh - A Numismatic History,2018
tt0361774,Jeevan Jyoti,1937
tt0236709,Saral Biswas,1959
tt0896934,Gafla,2006
tt0388391,Sapera,1961
tt3429796,Hunterwali,1972
tt3548884,Yashodhara,1991
tt0372854,Daughters of This Century,2001
tt0355221,Ashirwad,1943
tt1472596,Hatimtai Ki Beti,1955
tt3111294,Rahoh Mein Pada Patthar Hoon,1970
tt1205586,Dahek: A Restless Mind,2007
tt0379367,Mansarovar,1946
tt2808228,Badla Aurat Ka,1987
tt7791496,Yours Truly,2018
tt0387376,Makkhee Choos,1956
tt5316236,Dehekte Sholay,1991
tt0243552,Shatranj Ke Mohre,1974
tt0265373,Naganand,1935
tt0376159,Sati Ahilya,1949
tt2197176,Paanchwin Manzil,1983
tt0473474,Doraemon: Nobita to fushigi kazetsukai,2003
tt0458867,Naya Khoon,1990
tt0029911,Bhabi,1938
tt2560016,Rajdhani Express,2013
tt3039108,Bombay Express,1981
tt2637732,Jaan Lada Denge,1990
tt5307338,Guy in the blue,2015
tt5313132,Ramdoot Hanuman,1968
tt4300776,Mirror Game,2017
tt3844862,Madam No 1,2001
tt6755870,Lucky & Happy,2017
tt2714470,Doosra Roop,1982
tt4961326,Diwan,2003
tt7320288,Rajdarshan,2017
tt0362162,Society,1942
tt0357965,Niyaz Aur Namaaz,1977
tt11536684,Ek Sainik - The Tale of a warrior,2020
tt0232511,Rajkumari,1938
tt4550794,Bad Freind,2005
tt6625884,An Unspoken Love Story,2015
tt4445486,Lady Tarzan,1990
tt4882640,Saajan Mera Chor Hain,2005
tt5121200,Uhi Milte Rahenge,2016
tt4815758,Guzaara,1954
tt3672774,Sawa Ser Gehu,1995
tt2951360,Geet Mere Pyar Ka,1986
tt6445398,I Don't Luv U,2013
tt2897280,Night Queen,1992
tt4968780,Rowdy Cheetah,2001
tt5267792,The Hope,2004
tt0156255,Aai Phirse Bahar,1960
tt0977656,Ilzaam,2007
tt4553900,Paisa Ho Paisa,2015
tt1692233,Mastang Mama,2010
tt3920610,Pyasi Chandni,2002
tt5478254,Shaukeen Kaminay,2016
tt0140937,Dawlat,1949
tt0464969,Gunehgar Kaun,1991
tt0157285,Aadhi Raat,1957
tt0961077,Rachna,1983
tt4882648,The Real Dream Girl,2005
tt0156616,Hum Kahan Ja Rahe Hain,1966
tt7027632,Naqli Baap,1949
tt2779306,Pyar Ki Manzil,1981
tt11992044,The Sound of Silence,2020
tt0390658,Zindagi,1956
tt4799112,Shiv Bhakta,1955
tt0392188,Jeevan Mukt,1977
tt1673391,Hello Hum Lallann Bol Rahe Hain,2010
tt13139222,Before You Go-Love,2020
tt3544378,Royal Mail,1963
tt0356602,Farishta,1984
tt4965836,Love Story 98,1998
tt0386626,Matlahi,1948
tt11669388,Mhara Gaon Mhara Desh,2004
tt1087644,Sarfarosh-E-Hind,1999
tt8286142,Ek Aasha,2018
tt4887226,Bewajah,2017
tt8265146,Ateet,2020
tt0351183,Krantikari,1997
tt0246276,Thief of Baghdad,1977
tt10731264,Suraj Pe Mangal Bhari,2020
tt4556044,Ishq Na Karna,2006
tt0361946,Nariraj,1936
tt4792090,Dao Pe Dao,1980
tt0255546,Rani,1952
tt5686868,Miss Teacher,2016
tt0373791,Dharatikamp,1934
tt4959190,Pyar Ki Ladai,2003
tt4346300,Love in Jungle,2003
tt0381142,Do Nambar Ke Amir,1974
tt0261240,Rickshawali,1990
tt0158592,Doosri Shaadi,1947
tt0232096,Milan,1958
tt3509174,Karishma: Jamal Tree,1982
tt8919478,Sunn Raha Hai Na,2017
tt0378204,Kiski Biwi,1942
tt3657484,Haseena Haathiwali,1994
tt5319830,Sawaari,1984
tt10109982,Miracle,2019
tt0040686,Payal,1948
tt0378694,Sadhu Sant,1991
tt0778881,Tum... Ho Na!,2005
tt0230303,Honhar,1936
tt2804926,Anita Mera Naam,1985
tt9343754,Eeb Allay Ooo!,2019
tt0392769,Shahzada,1955
tt0232826,Tinku,1977
tt4206292,Prem Ishq Love,1995
tt0232065,Mast Qalandar,1955
tt0032951,Punar Milan,1940
tt2700556,Iraade Maum Ke,2015
tt13635582,Six December,2012
tt8237512,Who the Hell,2018
tt3628784,Jai Baba Baidyanath,1979
tt0358008,Patit Pawan,1955
tt2319110,Sapne Apne Apne,1980
tt6237546,Kalyug Ki Sita,1983
tt0033515,Darpan,1941
tt0396421,Aakhri Chetawani,1993
tt0379444,Prem Pariksha,1934
tt0252636,Laxmi,1957
tt0267941,Spandan,1982
tt2952802,Uprant,1987
tt0243476,Parakh,1944
tt0378789,Sona Chandi,1946
tt4489022,Har Din Ek Naya Gulaab,2002
tt12150172,Nirmal Anand Ki Puppy,2019
tt4942352,Local Dada,2005
tt0049595,Parivar,1956
tt3817852,Shri Ram Hanuman Yudha,1975
tt6543320,Kasam Tere Pyar Ki,2001
tt11519590,Blood Relation,2015
tt10173078,Hamara Parivar,2009
tt4897462,Kawadse,2005
tt3067052,Suhaani Raat,1974
tt0133185,Roop Lekha,1949
tt1029314,Ho Sakta Hai!,2004
tt0230786,Sinhasan,1934
tt2960738,Nai Raat Nai Baat,1990
tt0357417,Akela,1963
tt10133534,Jothi Malar,1943
tt10195920,Bagh Dad,1961
tt0155550,Bhole Bhale,1950
tt0415820,Ghar Grihasti,2004
tt3099172,Sampoorna Devi Darshan,1971
tt6149662,Amir Salman Shahrukh,2016
tt5890002,Love Ke Funday,2016
tt2806676,Koi Na Jane Re,1986
tt0483029,Kyon?,2003
tt3173676,Jaal Saz,1959
tt2224282,Delhi Eye,2012
tt2530446,Sangeeta,1950
tt0156635,Jawan Ki Pukar,1942
tt0383877,Andher Nagari Chaupat Raja,1955
tt6033018,Azaab,2016
tt3633178,Bus Ek Baar,1994
tt3949386,Princess Saba,1958
tt0373705,Bahu Beti,1953
tt0253304,Nek Dost,1934
tt1754236,Mushkilon ke bavjood,2009
tt3430022,Topless,2005
tt4890492,Upasana,1998
tt0448690,Pratima,1945
tt0154613,Hoor-E-Arab,1955
tt0426039,Insaaf Ki Manzil,1988
tt6523068,"U, Me Aur Ghar",2017
tt0216065,Panihari,1946
